Número;Nome;Cidade;Estado;Escola
1156;Under Control;Novo Hamburgo;Rio Grande do Sul;
1772;The Brazilian Trail Blazers;Gravataí;Rio Grande do Sul;
1860;Alphabots;Sao Jose dos Campos;São Paulo;
5800;Magic Island Robotics;Florianópolis;Santa Catarina;
6404;Brazilian Storm;São José dos Campos;São Paulo;
7033;Manna Roosters 7033;Curitiba;Paraná;
7459;Taubatexas Robotics;Taubaté;São Paulo;
7563;SESI SENAI MEGAZORD;Jundiaí;São Paulo;SESI SENAI
7565;SESI SENAI ROBONÁTICOS;São Paulo;São Paulo;SESI SENAI
7567;SESI SENAI OCTOPUS;Bauru;São Paulo;SESI SENAI
8066;WOLF ARMY ROBOTICS;Lorena;São Paulo;
8276;ETECHNOLOGY#8276;São José dos Campos;São Paulo;
8882;Infinity BR;Goiânia;Goiás;
9045;North Lions SESI/SENAI;Recife;Pernambuco;SESI SENAI
9046;SESI SENAI BBTECH;Maceió;Alagoas;SESI SENAI
9047;TECHMAKER ROBOTICS;Blumenau;Santa Catarina;
9048;SESI/SENAI P0t1BOT (Potibot);Natal;Rio Grande do Norte;SESI SENAI
9049;SESI SENAI STEAMPUNK MONKEY FRC;Curitiba;Paraná;SESI SENAI
9050;Tucanus;Nova Friburgo;Rio de Janeiro;
9066;Cavalo Vendado;Erechim;Rio Grande do Sul;
9085;SESI SENAI MEGA HARPY;Indaiatuba;São Paulo;SESI SENAI
9110;SESI SENAI Atomiic;São João del-Rei;Minas Gerais;SESI SENAI
9162;ALL MIGHT;Fortaleza;Ceará;
9163;HYDRA;Salvador;Bahia;
9164;Tech Vikings;Naviraí;Mato Grosso do Sul;
9166;TecRobot;São Leopoldo;Rio Grande do Sul;
9169;AGROTECH;Várzea Grande;Mato Grosso;
9175;BrainMachine-FRC;Catalão;Goiás;
9178;Cyber One;Serra;Espírito Santo;
9195;ProdiXy;Manaus;Amazonas;
9199;SESI SENAI SHARKS;Taubaté;São Paulo;SESI SENAI
9200;SESI SENAI STARDUST;Limeira;São Paulo;SESI SENAI
9218;Alpha;Rio de Janeiro;Rio de Janeiro;
9219;Nine Tails;Resende;Rio de Janeiro;
9302;PARATECH FRC;Belém;Pará;
9305;MonT;Montenegro;Rio Grande do Sul;
9458;SESI SENAI JACTECH;Jacareí;São Paulo;SESI SENAI
9459;SESI SENAI RPRT HAWKS;São José do Rio Preto;São Paulo;SESI SENAI
9460;SESI SENAI STEEL BULLS;Sertãozinho;São Paulo;SESI SENAI
9461;SESI SENAI MecaChronos;São Paulo;São Paulo;SESI SENAI
9484;Robot's District;Taguatinga;Distrito Federal;
9485;HYOBOTS;Linhas;Espírito Santo;
9486;ALPHASTORM FRC;Aparecida de Goiânia;Goiás;
9487;KRYPTON FRC;Goiânia;Goiás;
9603;MTECH;Cuiabá;Mato Grosso;
9604;TUIUTECH;Cuiabá;Mato Grosso;
9611;SESI SENAI SC CyberRain;Joinville;Santa Catarina;SESI SENAI
9614;ROBOSSAUROS;Sousa;Paraíba;
9617;Metal Knight;Sobral;Ceará;
9657;SESI SENAI BATROBOT;São Gonçalo do Amarante;Rio Grande do Norte;SESI SENAI
9675;COLOSSUS;São Luis;Maranhão;
10019;SESI SENAI MINERSKILLS;Belo Horizonte;Minas Gerais;SESI SENAI
10140;Lord's Valley Robotics Team;Jaraguá do Sul;Santa Catarina;
10190;SESI SENAI SC CARESI;São José;Santa Catarina;SESI SENAI
10200;West Pionners;Luzerna;Santa Catarina;
10343;Tera Robotics;Três Lagoas;Mato Grosso do Sul;
10345;Sirius;Goiânia;Goiás;
10356;FRCapi;Campo Grande;Mato Grosso do Sul;
10466;Federal Force;Taguatinga;Distrito Federal;
9168;AGROBOT;Rondonópolis;Mato Grosso;
9602;CANINTECH;Sinop;Mato Grosso;
10263;Temari Robotics;Gravataí;Rio Grande do Sul;
10291;MUTUM-X;Nova Mutum;Mato Grosso;
10295;FOREST GUARDIANS;Alta Floresta;Mato Grosso;
10296;BIOBOTS;Barra do Bugres;Mato Grosso;
10297;PANTANALBOTS;Cáceres;Mato Grosso;
10298;LUVER CONTROL;Lucas do Rio Verde;Mato Grosso;
10299;HARVBOT;Sorriso;Mato Grosso;
6902;STRIKE;Foz do Iguaçu;Paraná;BERT International School & AIDTEC
